state,date,R,Máximo,Mínimo
APU,2020-04-09,3.0,6.99,1.01
APU,2020-04-10,2.87,6.25,0.99
APU,2020-04-11,2.77,5.83,1.01
APU,2020-04-12,3.0,5.96,1.12
APU,2020-04-13,3.11,5.81,1.25
APU,2020-04-14,3.09,5.48,1.32
APU,2020-04-15,3.01,5.09,1.33
APU,2020-04-16,2.72,4.58,1.25
APU,2020-04-17,2.52,4.18,1.15
APU,2020-04-18,2.26,3.81,1.05
APU,2020-04-19,2.17,3.66,1.03
APU,2020-04-20,2.1,3.47,0.96
APU,2020-04-21,1.96,3.30,0.92
APU,2020-04-22,2.0,3.27,0.92
APU,2020-04-23,2.03,3.29,0.98
APU,2020-04-24,1.98,3.21,0.98
APU,2020-04-25,1.92,3.1,0.95
APU,2020-04-26,1.82,2.96,0.9
APU,2020-04-27,1.79,2.89,0.88
APU,2020-04-28,1.76,2.86,0.89
APU,2020-04-29,1.74,2.81,0.88
APU,2020-04-30,1.77,2.81,0.9
APU,2020-05-01,1.79,2.80,0.92
APU,2020-05-02,1.75,2.74,0.91
APU,2020-05-03,1.72,2.7,0.91
APU,2020-05-04,1.69,2.61,0.87
APU,2020-05-05,1.67,2.61,0.9
APU,2020-05-06,1.6,2.51,0.85
APU,2020-05-07,1.55,2.43,0.81
APU,2020-05-08,1.46,2.30,0.73
APU,2020-05-09,1.43,2.27,0.72
APU,2020-05-10,1.42,2.28,0.73
APU,2020-05-11,1.42,2.24,0.70
APU,2020-05-12,1.45,2.29,0.74
APU,2020-05-13,1.62,2.49,0.89
APU,2020-05-14,1.81,2.67,1.06
APU,2020-05-15,1.93,2.74,1.17
APU,2020-05-16,1.97,2.77,1.26
APU,2020-05-17,1.91,2.65,1.22
APU,2020-05-18,1.78,2.49,1.13
APU,2020-05-19,1.68,2.36,1.06
APU,2020-05-20,1.59,2.23,0.98
APU,2020-05-21,1.6,2.23,1.01
APU,2020-05-22,1.63,2.24,1.05
APU,2020-05-23,1.66,2.27,1.11
APU,2020-05-24,1.65,2.24,1.12
APU,2020-05-25,1.63,2.18,1.1
APU,2020-05-26,1.59,2.14,1.09
APU,2020-05-27,1.54,2.05,1.04
APU,2020-05-28,1.51,2.03,1.04
APU,2020-05-29,1.51,2.0,1.04
APU,2020-05-30,1.49,1.99,1.05
APU,2020-05-31,1.5,1.96,1.05
