state,date,R,Máximo,Mínimo
ARE,2020-04-01,3.0,6.99,1.01
ARE,2020-04-02,3.0,5.96,1.12
ARE,2020-04-03,2.92,5.36,1.21
ARE,2020-04-04,2.80,4.89,1.24
ARE,2020-04-05,2.67,4.49,1.23
ARE,2020-04-06,2.56,4.16,1.21
ARE,2020-04-07,2.24,3.64,1.03
ARE,2020-04-08,2.12,3.48,1.04
ARE,2020-04-09,1.87,3.13,0.9
ARE,2020-04-10,1.82,3.03,0.88
ARE,2020-04-11,1.72,2.87,0.82
ARE,2020-04-12,1.7,2.8,0.8
ARE,2020-04-13,1.73,2.8,0.82
ARE,2020-04-14,1.75,2.79,0.84
ARE,2020-04-15,1.83,2.89,0.95
ARE,2020-04-16,2.03,3.03,1.1
ARE,2020-04-17,2.22,3.19,1.32
ARE,2020-04-18,2.32,3.24,1.48
ARE,2020-04-19,2.28,3.09,1.47
ARE,2020-04-20,2.13,2.91,1.41
ARE,2020-04-21,1.92,2.61,1.22
ARE,2020-04-22,1.8,2.49,1.17
ARE,2020-04-23,1.72,2.38,1.12
ARE,2020-04-24,1.78,2.39,1.18
ARE,2020-04-25,1.8,2.4,1.24
ARE,2020-04-26,1.81,2.4,1.29
ARE,2020-04-27,1.77,2.29,1.24
ARE,2020-04-28,1.7,2.24,1.23
ARE,2020-04-29,1.62,2.14,1.17
ARE,2020-04-30,1.57,2.05,1.12
ARE,2020-05-01,1.48,1.95,1.05
ARE,2020-05-02,1.46,1.93,1.05
ARE,2020-05-03,1.43,1.86,1.01
ARE,2020-05-04,1.40,1.82,0.99
ARE,2020-05-05,1.37,1.81,0.99
ARE,2020-05-06,1.38,1.79,0.99
ARE,2020-05-07,1.43,1.83,1.05
ARE,2020-05-08,1.46,1.85,1.09
ARE,2020-05-09,1.53,1.90,1.16
ARE,2020-05-10,1.58,1.96,1.24
ARE,2020-05-11,1.6,1.96,1.27
ARE,2020-05-12,1.59,1.95,1.28
ARE,2020-05-13,1.54,1.87,1.23
ARE,2020-05-14,1.46,1.77,1.15
ARE,2020-05-15,1.49,1.79,1.19
ARE,2020-05-16,1.52,1.81,1.23
ARE,2020-05-17,1.59,1.87,1.31
ARE,2020-05-18,1.62,1.90,1.36
ARE,2020-05-19,1.62,1.90,1.38
ARE,2020-05-20,1.57,1.83,1.33
ARE,2020-05-21,1.51,1.75,1.27
ARE,2020-05-22,1.44,1.68,1.21
ARE,2020-05-23,1.41,1.65,1.19
ARE,2020-05-24,1.39,1.63,1.18
