state,date,R,Máximo,Mínimo
CAJ,2020-04-01,3.0,6.99,1.01
CAJ,2020-04-02,2.87,6.25,0.99
CAJ,2020-04-03,2.77,5.83,1.01
CAJ,2020-04-04,2.69,5.48,0.98
CAJ,2020-04-05,2.61,5.25,0.99
CAJ,2020-04-06,2.55,5.02,0.96
CAJ,2020-04-07,2.49,4.87,0.97
CAJ,2020-04-08,2.44,4.73,0.97
CAJ,2020-04-09,2.4,4.60,0.96
CAJ,2020-04-10,2.35,4.48,0.95
CAJ,2020-04-11,2.32,4.35,0.92
CAJ,2020-04-12,2.28,4.29,0.94
CAJ,2020-04-13,2.42,4.42,1.02
CAJ,2020-04-14,2.51,4.39,1.04
CAJ,2020-04-15,2.72,4.58,1.25
CAJ,2020-04-16,2.81,4.54,1.38
CAJ,2020-04-17,2.68,4.21,1.33
CAJ,2020-04-18,2.56,3.97,1.32
CAJ,2020-04-19,2.36,3.67,1.24
CAJ,2020-04-20,2.15,3.35,1.11
CAJ,2020-04-21,1.99,3.12,1.02
CAJ,2020-04-22,1.93,3.03,1.01
CAJ,2020-04-23,1.98,3.06,1.08
CAJ,2020-04-24,2.02,3.05,1.13
CAJ,2020-04-25,1.98,2.93,1.1
CAJ,2020-04-26,1.95,2.89,1.13
CAJ,2020-04-27,1.87,2.78,1.1
CAJ,2020-04-28,1.85,2.68,1.07
CAJ,2020-04-29,1.82,2.63,1.08
CAJ,2020-04-30,1.82,2.61,1.11
CAJ,2020-05-01,1.85,2.62,1.17
CAJ,2020-05-02,1.89,2.61,1.22
CAJ,2020-05-03,1.83,2.54,1.21
CAJ,2020-05-04,1.77,2.44,1.17
CAJ,2020-05-05,1.65,2.27,1.06
CAJ,2020-05-06,1.57,2.18,1.01
CAJ,2020-05-07,1.49,2.06,0.93
CAJ,2020-05-08,1.44,2.03,0.92
CAJ,2020-05-09,1.39,1.94,0.86
CAJ,2020-05-10,1.38,1.95,0.88
CAJ,2020-05-11,1.35,1.90,0.85
CAJ,2020-05-12,1.34,1.90,0.86
CAJ,2020-05-13,1.32,1.84,0.82
CAJ,2020-05-14,1.31,1.84,0.83
CAJ,2020-05-15,1.29,1.82,0.82
CAJ,2020-05-16,1.26,1.79,0.8
CAJ,2020-05-17,1.24,1.76,0.78
CAJ,2020-05-18,1.25,1.78,0.8
CAJ,2020-05-19,1.26,1.77,0.8
CAJ,2020-05-20,1.28,1.77,0.81
CAJ,2020-05-21,1.33,1.83,0.87
CAJ,2020-05-22,1.34,1.85,0.9
CAJ,2020-05-23,1.36,1.86,0.92
CAJ,2020-05-24,1.34,1.82,0.9
CAJ,2020-05-25,1.31,1.8,0.89
CAJ,2020-05-26,1.28,1.74,0.85
CAJ,2020-05-27,1.27,1.72,0.84
CAJ,2020-05-28,1.26,1.69,0.82
CAJ,2020-05-29,1.27,1.73,0.86
CAJ,2020-05-30,1.26,1.72,0.86
CAJ,2020-05-31,1.24,1.68,0.83
CAJ,2020-06-01,1.23,1.67,0.83
CAJ,2020-06-02,1.22,1.63,0.8
CAJ,2020-06-03,1.22,1.66,0.83
CAJ,2020-06-04,1.23,1.65,0.83
CAJ,2020-06-05,1.23,1.67,0.85
CAJ,2020-06-06,1.23,1.65,0.84
CAJ,2020-06-07,1.22,1.63,0.83
