state,date,R,Máximo,Mínimo
CAL,2020-04-01,3.0,6.99,1.01
CAL,2020-04-02,2.5,4.61,1.03
CAL,2020-04-03,2.41,4.09,1.08
CAL,2020-04-04,2.53,4.0,1.29
CAL,2020-04-05,3.34,4.61,2.14
CAL,2020-04-06,3.6,4.60,2.59
CAL,2020-04-07,3.44,4.25,2.61
CAL,2020-04-08,3.11,3.81,2.43
CAL,2020-04-09,2.65,3.25,2.05
CAL,2020-04-10,2.37,2.93,1.85
CAL,2020-04-11,2.2,2.7,1.72
CAL,2020-04-12,2.03,2.51,1.6
CAL,2020-04-13,1.94,2.39,1.54
CAL,2020-04-14,1.83,2.22,1.43
CAL,2020-04-15,1.71,2.09,1.34
CAL,2020-04-16,1.59,1.97,1.25
CAL,2020-04-17,1.49,1.84,1.15
CAL,2020-04-18,1.43,1.78,1.11
CAL,2020-04-19,1.40,1.73,1.08
CAL,2020-04-20,1.38,1.72,1.08
CAL,2020-04-21,1.36,1.69,1.07
CAL,2020-04-22,1.61,1.92,1.32
CAL,2020-04-23,1.8,2.1,1.53
CAL,2020-04-24,1.92,2.21,1.67
CAL,2020-04-25,1.93,2.18,1.68
CAL,2020-04-26,1.82,2.05,1.58
CAL,2020-04-27,1.65,1.88,1.43
CAL,2020-04-28,1.53,1.74,1.31
CAL,2020-04-29,1.38,1.59,1.17
CAL,2020-04-30,1.38,1.59,1.18
CAL,2020-05-01,1.37,1.58,1.18
CAL,2020-05-02,1.36,1.56,1.17
CAL,2020-05-03,1.36,1.55,1.17
CAL,2020-05-04,1.36,1.56,1.18
CAL,2020-05-05,1.35,1.55,1.18
CAL,2020-05-06,1.36,1.55,1.19
CAL,2020-05-07,1.34,1.52,1.17
CAL,2020-05-08,1.32,1.49,1.15
CAL,2020-05-09,1.27,1.45,1.11
CAL,2020-05-10,1.24,1.40,1.07
CAL,2020-05-11,1.22,1.40,1.07
CAL,2020-05-12,1.23,1.39,1.07
CAL,2020-05-13,1.24,1.41,1.09
CAL,2020-05-14,1.25,1.40,1.09
CAL,2020-05-15,1.22,1.38,1.07
CAL,2020-05-16,1.19,1.36,1.05
CAL,2020-05-17,1.18,1.33,1.03
CAL,2020-05-18,1.19,1.34,1.04
CAL,2020-05-19,1.21,1.37,1.07
CAL,2020-05-20,1.23,1.37,1.08
CAL,2020-05-21,1.25,1.40,1.11
CAL,2020-05-22,1.25,1.40,1.11
CAL,2020-05-23,1.25,1.39,1.11
CAL,2020-05-24,1.25,1.39,1.11
CAL,2020-05-25,1.26,1.39,1.12
CAL,2020-05-26,1.3,1.44,1.17
CAL,2020-05-27,1.31,1.43,1.17
CAL,2020-05-28,1.28,1.42,1.16
CAL,2020-05-29,1.25,1.39,1.13
CAL,2020-05-30,1.2,1.33,1.08
CAL,2020-05-31,1.17,1.29,1.04
CAL,2020-06-01,1.14,1.27,1.02
CAL,2020-06-02,1.11,1.25,1.0
CAL,2020-06-03,1.11,1.25,1.0
CAL,2020-06-04,1.1,1.23,0.98
CAL,2020-06-05,1.08,1.21,0.96
CAL,2020-06-06,1.07,1.18,0.94
CAL,2020-06-07,1.07,1.19,0.95
CAL,2020-06-08,1.08,1.2,0.96
CAL,2020-06-09,1.1,1.22,0.98
CAL,2020-06-10,1.12,1.24,1.0
CAL,2020-06-11,1.13,1.26,1.02
CAL,2020-06-12,1.14,1.26,1.02
CAL,2020-06-13,1.12,1.25,1.01
CAL,2020-06-14,1.09,1.22,0.98
CAL,2020-06-15,1.06,1.19,0.95
CAL,2020-06-16,1.04,1.17,0.93
CAL,2020-06-17,1.04,1.16,0.92
CAL,2020-06-18,1.03,1.16,0.92
CAL,2020-06-19,1.04,1.16,0.92
CAL,2020-06-20,1.03,1.16,0.92
CAL,2020-06-21,1.02,1.15,0.91
CAL,2020-06-22,1.01,1.14,0.9
CAL,2020-06-23,1.0,1.12,0.88
CAL,2020-06-24,0.99,1.12,0.88
CAL,2020-06-25,0.99,1.11,0.87
CAL,2020-06-26,0.99,1.11,0.87
CAL,2020-06-27,0.99,1.11,0.87
CAL,2020-06-28,0.99,1.11,0.87
CAL,2020-06-29,0.98,1.1,0.86
CAL,2020-06-30,0.98,1.09,0.85
CAL,2020-07-01,0.97,1.1,0.85
CAL,2020-07-02,0.96,1.1,0.85
CAL,2020-07-03,0.96,1.09,0.84
CAL,2020-07-04,0.95,1.09,0.84
CAL,2020-07-05,0.95,1.08,0.83
CAL,2020-07-06,0.96,1.08,0.83
CAL,2020-07-07,0.97,1.09,0.84
CAL,2020-07-08,0.98,1.1,0.85
CAL,2020-07-09,0.99,1.11,0.86
CAL,2020-07-10,0.99,1.11,0.86
CAL,2020-07-11,0.99,1.13,0.87
CAL,2020-07-12,0.98,1.12,0.86
CAL,2020-07-13,0.97,1.11,0.85
CAL,2020-07-14,0.97,1.11,0.85
CAL,2020-07-15,0.98,1.12,0.86
CAL,2020-07-16,0.99,1.12,0.86
CAL,2020-07-17,0.99,1.13,0.87
CAL,2020-07-18,0.99,1.13,0.87
CAL,2020-07-19,0.99,1.12,0.86
CAL,2020-07-20,0.98,1.12,0.86
CAL,2020-07-21,0.99,1.12,0.86
CAL,2020-07-22,1.01,1.15,0.89
CAL,2020-07-23,1.04,1.17,0.91
CAL,2020-07-24,1.06,1.2,0.94
CAL,2020-07-28,1.08,1.22,0.96
CAL,2020-07-29,1.09,1.23,0.97
CAL,2020-07-30,1.09,1.23,0.97
CAL,2020-08-01,1.09,1.23,0.97
CAL,2020-08-02,1.08,1.2,0.95
CAL,2020-08-03,1.09,1.21,0.96
CAL,2020-08-04,1.09,1.22,0.97
CAL,2020-08-05,1.08,1.21,0.96
CAL,2020-08-06,1.07,1.21,0.96
CAL,2020-08-07,1.06,1.2,0.95
CAL,2020-08-08,1.05,1.18,0.93
CAL,2020-08-09,1.04,1.17,0.92
CAL,2020-08-10,1.06,1.2,0.95
CAL,2020-08-11,1.09,1.23,0.98
CAL,2020-08-12,1.12,1.23,0.99
CAL,2020-08-13,1.13,1.25,1.01
CAL,2020-08-14,1.12,1.25,1.01
CAL,2020-08-15,1.1,1.23,0.99
CAL,2020-08-16,1.08,1.21,0.97
CAL,2020-08-17,1.05,1.18,0.94
CAL,2020-08-18,1.05,1.18,0.94
CAL,2020-08-19,1.05,1.18,0.94
CAL,2020-08-20,1.04,1.17,0.93
CAL,2020-08-21,1.03,1.16,0.92
CAL,2020-08-22,1.03,1.16,0.92
CAL,2020-08-23,1.02,1.15,0.91
CAL,2020-08-24,1.01,1.14,0.9
CAL,2020-08-25,1.01,1.14,0.9
CAL,2020-08-26,1.02,1.15,0.91
CAL,2020-08-27,1.03,1.16,0.92
CAL,2020-08-28,1.03,1.16,0.92
CAL,2020-08-29,1.02,1.15,0.91
CAL,2020-08-30,1.03,1.16,0.92
CAL,2020-08-31,1.02,1.15,0.91
CAL,2020-09-01,1.03,1.16,0.92
CAL,2020-09-03,1.03,1.16,0.92
CAL,2020-09-04,1.02,1.15,0.91
CAL,2020-09-05,1.01,1.14,0.9
CAL,2020-09-06,0.99,1.12,0.88
CAL,2020-09-07,0.98,1.11,0.87
CAL,2020-09-08,1.0,1.12,0.88
CAL,2020-09-09,1.01,1.14,0.9
CAL,2020-09-10,1.04,1.16,0.92
CAL,2020-09-11,1.05,1.18,0.94
CAL,2020-09-12,1.04,1.17,0.93
CAL,2020-09-13,1.03,1.16,0.92
CAL,2020-09-14,1.01,1.14,0.9
CAL,2020-09-15,0.99,1.12,0.88
CAL,2020-09-16,0.98,1.11,0.87
CAL,2020-09-17,0.98,1.11,0.87
CAL,2020-09-18,1.0,1.13,0.89
CAL,2020-09-19,1.01,1.14,0.9
CAL,2020-09-20,1.02,1.15,0.91
CAL,2020-09-22,1.02,1.15,0.91
CAL,2020-09-23,1.02,1.15,0.91
CAL,2020-09-24,1.01,1.14,0.9
CAL,2020-09-26,0.99,1.12,0.88
CAL,2020-09-27,1.0,1.13,0.89
CAL,2020-09-28,1.04,1.17,0.93
CAL,2020-09-29,1.07,1.2,0.96
