state,date,R,Máximo,Mínimo
CUS,2020-04-01,3.0,6.99,1.01
CUS,2020-04-02,2.28,4.57,0.88
CUS,2020-04-03,2.12,4.06,0.85
CUS,2020-04-04,1.88,3.58,0.77
CUS,2020-04-05,1.72,3.24,0.68
CUS,2020-04-06,1.61,3.05,0.65
CUS,2020-04-07,1.51,2.88,0.6
CUS,2020-04-08,1.51,2.86,0.6
CUS,2020-04-09,1.5,2.84,0.6
CUS,2020-04-10,1.49,2.81,0.59
CUS,2020-04-11,1.73,3.12,0.73
CUS,2020-04-12,1.95,3.36,0.89
CUS,2020-04-13,2.12,3.48,1.04
CUS,2020-04-14,2.06,3.29,1.02
CUS,2020-04-15,1.94,3.11,1.0
CUS,2020-04-16,1.74,2.77,0.84
CUS,2020-04-17,1.59,2.58,0.77
CUS,2020-04-18,1.48,2.43,0.71
CUS,2020-04-19,1.46,2.4,0.71
CUS,2020-04-20,1.49,2.42,0.74
CUS,2020-04-21,1.51,2.42,0.76
CUS,2020-04-22,1.49,2.37,0.75
CUS,2020-04-23,1.51,2.38,0.78
CUS,2020-04-24,1.52,2.36,0.79
CUS,2020-04-25,1.53,2.35,0.81
CUS,2020-04-26,1.48,2.27,0.78
CUS,2020-04-27,1.43,2.21,0.76
CUS,2020-04-28,1.41,2.16,0.74
CUS,2020-04-29,1.37,2.12,0.73
CUS,2020-04-30,1.34,2.06,0.70
CUS,2020-05-01,1.33,2.07,0.72
CUS,2020-05-02,1.32,2.04,0.71
CUS,2020-05-03,1.34,2.04,0.72
CUS,2020-05-04,1.38,2.09,0.77
CUS,2020-05-05,1.46,2.17,0.85
CUS,2020-05-06,1.58,2.28,0.97
CUS,2020-05-07,1.7,2.37,1.09
CUS,2020-05-08,1.72,2.37,1.14
CUS,2020-05-09,1.68,2.31,1.13
CUS,2020-05-10,1.64,2.24,1.11
CUS,2020-05-11,1.6,2.15,1.07
CUS,2020-05-12,1.6,2.12,1.08
CUS,2020-05-13,1.64,2.17,1.16
CUS,2020-05-14,1.68,2.18,1.21
CUS,2020-05-15,1.72,2.21,1.28
CUS,2020-05-16,1.75,2.19,1.31
CUS,2020-05-17,1.77,2.2,1.36
CUS,2020-05-18,1.79,2.21,1.41
CUS,2020-05-19,1.75,2.15,1.39
CUS,2020-05-20,1.67,2.03,1.31
CUS,2020-05-21,1.66,2.01,1.32
CUS,2020-05-22,1.62,1.96,1.3
CUS,2020-05-23,1.62,1.96,1.32
CUS,2020-05-24,1.65,1.97,1.36
