state,date,R,Máximo,Mínimo
LAM,2020-04-01,3.0,6.99,1.01
LAM,2020-04-02,3.83,6.71,1.66
LAM,2020-04-03,3.5,5.5,1.68
LAM,2020-04-04,3.06,4.7,1.61
LAM,2020-04-05,3.68,5.07,2.35
LAM,2020-04-06,3.57,4.71,2.48
LAM,2020-04-07,3.23,4.2,2.33
LAM,2020-04-08,2.82,3.65,2.04
LAM,2020-04-09,2.39,3.12,1.69
LAM,2020-04-10,2.05,2.74,1.43
LAM,2020-04-11,1.83,2.46,1.24
LAM,2020-04-12,1.59,2.19,1.04
LAM,2020-04-13,1.68,2.27,1.15
LAM,2020-04-14,1.74,2.28,1.21
LAM,2020-04-15,1.77,2.32,1.29
LAM,2020-04-16,1.74,2.25,1.27
LAM,2020-04-17,1.64,2.11,1.18
LAM,2020-04-18,1.55,2.03,1.13
LAM,2020-04-19,1.53,1.99,1.12
LAM,2020-04-20,1.54,1.97,1.13
LAM,2020-04-21,1.58,2.0,1.19
LAM,2020-04-22,1.79,2.2,1.42
LAM,2020-04-23,1.96,2.33,1.6
LAM,2020-04-24,2.01,2.35,1.67
LAM,2020-04-25,1.99,2.33,1.69
LAM,2020-04-26,1.88,2.19,1.59
LAM,2020-04-27,1.77,2.07,1.5
LAM,2020-04-28,1.69,1.96,1.42
LAM,2020-04-29,1.6,1.87,1.35
LAM,2020-04-30,1.57,1.83,1.33
LAM,2020-05-01,1.53,1.78,1.3
LAM,2020-05-02,1.49,1.74,1.27
LAM,2020-05-03,1.44,1.66,1.21
LAM,2020-05-04,1.40,1.62,1.18
LAM,2020-05-05,1.38,1.61,1.18
LAM,2020-05-06,1.37,1.59,1.17
LAM,2020-05-07,1.34,1.55,1.14
LAM,2020-05-08,1.3,1.5,1.1
LAM,2020-05-09,1.25,1.46,1.06
LAM,2020-05-10,1.21,1.41,1.02
LAM,2020-05-11,1.2,1.40,1.01
LAM,2020-05-12,1.21,1.40,1.02
LAM,2020-05-13,1.24,1.44,1.06
LAM,2020-05-14,1.29,1.48,1.11
LAM,2020-05-15,1.31,1.49,1.13
LAM,2020-05-16,1.32,1.51,1.15
LAM,2020-05-17,1.31,1.5,1.15
LAM,2020-05-18,1.29,1.46,1.12
LAM,2020-05-19,1.26,1.44,1.1
LAM,2020-05-20,1.24,1.40,1.07
LAM,2020-05-21,1.22,1.39,1.06
LAM,2020-05-22,1.21,1.39,1.06
LAM,2020-05-23,1.2,1.36,1.04
LAM,2020-05-24,1.21,1.38,1.06
LAM,2020-05-25,1.22,1.37,1.06
LAM,2020-05-26,1.24,1.40,1.09
LAM,2020-05-27,1.24,1.41,1.1
