state,date,R,Máximo,Mínimo
LIM,2020-04-01,3.0,6.99,1.01
LIM,2020-04-02,1.98,2.86,1.18
LIM,2020-04-03,1.86,2.49,1.25
LIM,2020-04-04,1.93,2.46,1.44
LIM,2020-04-05,2.4,2.82,1.98
LIM,2020-04-06,2.68,3.04,2.34
LIM,2020-04-07,2.69,2.99,2.4
LIM,2020-04-08,2.6,2.87,2.36
LIM,2020-04-09,2.37,2.61,2.16
LIM,2020-04-10,2.07,2.29,1.88
LIM,2020-04-11,1.75,1.95,1.57
LIM,2020-04-12,1.54,1.72,1.36
LIM,2020-04-13,1.44,1.63,1.28
LIM,2020-04-14,1.45,1.62,1.29
LIM,2020-04-15,1.49,1.66,1.34
LIM,2020-04-16,1.53,1.67,1.37
LIM,2020-04-17,1.52,1.67,1.38
LIM,2020-04-18,1.5,1.64,1.36
LIM,2020-04-19,1.46,1.6,1.33
LIM,2020-04-20,1.42,1.55,1.29
LIM,2020-04-21,1.38,1.5,1.25
LIM,2020-04-22,1.31,1.44,1.19
LIM,2020-04-23,1.2,1.31,1.07
LIM,2020-04-24,1.13,1.25,1.01
LIM,2020-04-25,1.05,1.18,0.94
LIM,2020-04-26,1.01,1.13,0.89
LIM,2020-04-27,1.0,1.12,0.88
LIM,2020-04-28,0.96,1.09,0.85
LIM,2020-04-29,0.93,1.05,0.81
LIM,2020-05-01,0.94,1.07,0.83
LIM,2020-05-02,0.95,1.07,0.83
LIM,2020-05-03,0.99,1.11,0.87
LIM,2020-05-04,1.0,1.12,0.88
LIM,2020-05-05,0.99,1.11,0.87
LIM,2020-05-06,0.95,1.07,0.83
LIM,2020-05-07,0.91,1.03,0.79
LIM,2020-05-08,0.86,1.0,0.75
LIM,2020-05-09,0.86,1.0,0.75
LIM,2020-05-10,0.86,0.99,0.74
LIM,2020-05-11,0.86,0.99,0.74
LIM,2020-05-12,0.87,1.01,0.75
LIM,2020-05-13,0.87,1.0,0.74
LIM,2020-05-14,0.87,1.0,0.74
LIM,2020-05-15,0.87,1.0,0.74
LIM,2020-05-16,0.87,0.99,0.73
LIM,2020-05-17,0.87,1.01,0.74
LIM,2020-05-18,0.87,1.01,0.74
LIM,2020-05-19,0.87,1.01,0.74
LIM,2020-05-20,0.87,1.0,0.73
LIM,2020-05-21,0.87,1.0,0.73
LIM,2020-05-22,0.87,1.02,0.74
LIM,2020-05-23,0.87,1.02,0.74
LIM,2020-05-24,0.87,1.01,0.73
LIM,2020-05-25,0.87,1.01,0.73
LIM,2020-05-26,0.87,1.01,0.73
LIM,2020-05-27,0.87,1.02,0.73
LIM,2020-05-28,0.87,1.02,0.73
LIM,2020-05-29,0.87,1.02,0.73
LIM,2020-05-30,0.87,1.02,0.73
LIM,2020-05-31,0.87,1.01,0.72
LIM,2020-06-01,0.89,1.04,0.75
LIM,2020-06-02,0.92,1.08,0.78
LIM,2020-06-03,0.94,1.1,0.8
LIM,2020-06-04,0.95,1.12,0.82
LIM,2020-06-05,0.94,1.11,0.81
LIM,2020-06-06,0.92,1.08,0.78
LIM,2020-06-07,0.9,1.06,0.76
LIM,2020-06-08,0.87,1.03,0.73
LIM,2020-06-09,0.87,1.03,0.73
LIM,2020-06-10,0.87,1.02,0.72
LIM,2020-06-11,0.87,1.02,0.72
LIM,2020-06-12,0.87,1.04,0.73
LIM,2020-06-13,0.87,1.03,0.72
LIM,2020-06-14,0.87,1.03,0.72
LIM,2020-06-15,0.87,1.03,0.72
LIM,2020-06-16,0.87,1.03,0.72
LIM,2020-06-17,0.87,1.02,0.71
LIM,2020-06-18,0.87,1.04,0.72
LIM,2020-06-19,0.95,1.12,0.8
LIM,2020-06-20,1.01,1.18,0.86
LIM,2020-06-21,1.07,1.25,0.93
LIM,2020-06-22,1.1,1.26,0.95
LIM,2020-06-23,1.07,1.23,0.92
LIM,2020-06-24,1.01,1.17,0.86
LIM,2020-06-25,0.95,1.11,0.8
LIM,2020-06-26,0.95,1.12,0.81
LIM,2020-06-27,1.01,1.18,0.87
LIM,2020-06-28,1.08,1.22,0.92
LIM,2020-06-29,1.1,1.25,0.95
LIM,2020-06-30,1.07,1.23,0.93
LIM,2020-07-01,1.01,1.17,0.87
LIM,2020-07-02,0.95,1.11,0.81
LIM,2020-07-03,0.88,1.04,0.74
LIM,2020-07-04,0.88,1.04,0.74
LIM,2020-07-05,0.88,1.04,0.74
LIM,2020-07-06,0.88,1.03,0.73
LIM,2020-07-07,0.88,1.03,0.73
LIM,2020-07-08,0.88,1.05,0.74
LIM,2020-07-09,0.88,1.05,0.74
LIM,2020-07-10,0.88,1.04,0.73
LIM,2020-07-11,0.88,1.04,0.73
LIM,2020-07-12,0.88,1.04,0.73
