state,date,R,Máximo,Mínimo
MDD,2020-04-10,3.0,6.99,1.01
MDD,2020-04-11,3.29,7.03,1.19
MDD,2020-04-12,3.38,6.51,1.31
MDD,2020-04-13,3.0,5.52,1.19
MDD,2020-04-14,2.77,5.01,1.16
MDD,2020-04-15,2.6,4.61,1.09
MDD,2020-04-16,2.31,4.11,0.94
MDD,2020-04-17,2.55,4.38,1.14
MDD,2020-04-18,2.7,4.42,1.27
MDD,2020-04-19,2.88,4.51,1.5
MDD,2020-04-20,2.79,4.27,1.53
MDD,2020-04-21,2.43,3.72,1.29
MDD,2020-04-22,2.19,3.39,1.16
MDD,2020-04-23,1.96,3.05,0.99
MDD,2020-04-24,1.79,2.87,0.92
MDD,2020-04-25,1.81,2.87,0.95
MDD,2020-04-26,1.77,2.77,0.91
MDD,2020-04-27,1.74,2.69,0.88
MDD,2020-04-28,1.71,2.67,0.9
MDD,2020-04-29,1.68,2.62,0.89
MDD,2020-04-30,1.66,2.56,0.87
MDD,2020-05-01,1.6,2.5,0.85
MDD,2020-05-02,1.51,2.34,0.75
MDD,2020-05-03,1.5,2.35,0.77
MDD,2020-05-04,1.49,2.35,0.78
MDD,2020-05-05,1.48,2.31,0.76
MDD,2020-05-06,1.54,2.38,0.82
MDD,2020-05-07,1.56,2.4,0.85
MDD,2020-05-08,1.55,2.34,0.82
MDD,2020-05-09,1.53,2.34,0.84
MDD,2020-05-10,1.52,2.32,0.84
MDD,2020-05-11,1.5,2.30,0.84
MDD,2020-05-12,1.46,2.24,0.81
MDD,2020-05-13,1.45,2.2,0.79
MDD,2020-05-14,1.44,2.2,0.8
MDD,2020-05-15,1.46,2.21,0.82
MDD,2020-05-16,1.5,2.23,0.85
MDD,2020-05-17,1.51,2.26,0.89
MDD,2020-05-18,1.52,2.25,0.9
MDD,2020-05-19,1.58,2.27,0.94
MDD,2020-05-20,1.57,2.25,0.95
MDD,2020-05-21,1.63,2.31,1.03
MDD,2020-05-22,1.7,2.36,1.11
MDD,2020-05-23,1.73,2.37,1.16
MDD,2020-05-24,1.73,2.33,1.17
MDD,2020-05-25,1.66,2.26,1.14
MDD,2020-05-26,1.57,2.15,1.07
MDD,2020-05-27,1.47,2.01,0.97
MDD,2020-05-28,1.38,1.90,0.89
MDD,2020-05-29,1.33,1.83,0.84
MDD,2020-05-30,1.29,1.81,0.83
MDD,2020-05-31,1.29,1.8,0.83
