state,date,R,Máximo,Mínimo
MOQ,2020-04-08,3.0,6.99,1.01
MOQ,2020-04-09,2.87,6.25,0.99
MOQ,2020-04-10,3.13,6.36,1.12
MOQ,2020-04-11,2.9,5.63,1.09
MOQ,2020-04-12,2.73,5.15,1.04
MOQ,2020-04-13,2.61,4.85,1.04
MOQ,2020-04-14,2.71,4.88,1.15
MOQ,2020-04-15,2.55,4.49,1.06
MOQ,2020-04-16,2.43,4.25,1.04
MOQ,2020-04-17,2.34,4.08,1.04
MOQ,2020-04-18,2.25,3.88,0.99
MOQ,2020-04-19,2.30,3.86,1.03
MOQ,2020-04-20,2.21,3.72,1.03
MOQ,2020-04-21,2.24,3.7,1.08
MOQ,2020-04-22,2.24,3.61,1.09
MOQ,2020-04-23,2.31,3.65,1.2
MOQ,2020-04-24,2.26,3.48,1.17
MOQ,2020-04-25,2.21,3.39,1.2
MOQ,2020-04-26,2.1,3.2,1.14
MOQ,2020-04-27,2.0,3.04,1.09
MOQ,2020-04-28,1.88,2.88,1.03
MOQ,2020-04-29,1.78,2.74,0.97
MOQ,2020-04-30,1.66,2.56,0.87
MOQ,2020-05-01,1.64,2.54,0.88
MOQ,2020-05-02,1.58,2.43,0.82
MOQ,2020-05-03,1.56,2.42,0.83
MOQ,2020-05-04,1.55,2.41,0.84
MOQ,2020-05-05,1.57,2.38,0.83
MOQ,2020-05-06,1.55,2.38,0.85
MOQ,2020-05-07,1.53,2.32,0.82
MOQ,2020-05-08,1.49,2.27,0.8
MOQ,2020-05-09,1.45,2.24,0.79
MOQ,2020-05-10,1.41,2.2,0.77
MOQ,2020-05-11,1.41,2.19,0.77
MOQ,2020-05-12,1.40,2.17,0.76
MOQ,2020-05-13,1.42,2.2,0.79
MOQ,2020-05-14,1.5,2.24,0.83
MOQ,2020-05-15,1.54,2.27,0.87
MOQ,2020-05-16,1.57,2.32,0.93
MOQ,2020-05-17,1.63,2.36,0.99
MOQ,2020-05-18,1.62,2.31,0.98
MOQ,2020-05-19,1.63,2.32,1.02
MOQ,2020-05-20,1.66,2.34,1.07
MOQ,2020-05-21,1.66,2.31,1.08
MOQ,2020-05-22,1.66,2.28,1.09
MOQ,2020-05-23,1.65,2.25,1.1
MOQ,2020-05-24,1.59,2.17,1.06
MOQ,2020-05-25,1.56,2.13,1.05
MOQ,2020-05-26,1.52,2.07,1.02
MOQ,2020-05-27,1.48,2.01,0.99
MOQ,2020-05-28,1.44,1.98,0.98
MOQ,2020-05-29,1.39,1.88,0.91
MOQ,2020-05-30,1.35,1.86,0.9
MOQ,2020-05-31,1.34,1.83,0.89
MOQ,2020-06-01,1.34,1.83,0.9
MOQ,2020-06-02,1.36,1.85,0.93
MOQ,2020-06-03,1.39,1.85,0.95
MOQ,2020-06-04,1.40,1.87,0.98
MOQ,2020-06-05,1.42,1.88,1.01
MOQ,2020-06-06,1.42,1.86,1.01
MOQ,2020-06-07,1.44,1.87,1.04
MOQ,2020-06-08,1.46,1.88,1.07
MOQ,2020-06-09,1.47,1.88,1.09
MOQ,2020-06-10,1.5,1.89,1.12
MOQ,2020-06-11,1.5,1.89,1.14
MOQ,2020-06-12,1.46,1.85,1.12
MOQ,2020-06-13,1.48,1.85,1.14
MOQ,2020-06-14,1.48,1.84,1.15
MOQ,2020-06-15,1.47,1.82,1.15
MOQ,2020-06-16,1.46,1.79,1.14
MOQ,2020-06-17,1.42,1.73,1.1
MOQ,2020-06-18,1.36,1.69,1.07
MOQ,2020-06-19,1.32,1.64,1.03
MOQ,2020-06-20,1.26,1.57,0.97
MOQ,2020-06-21,1.23,1.54,0.95
MOQ,2020-06-22,1.25,1.55,0.97
MOQ,2020-06-23,1.27,1.56,0.99
MOQ,2020-06-24,1.3,1.61,1.04
MOQ,2020-06-25,1.32,1.62,1.06
MOQ,2020-06-26,1.31,1.58,1.04
MOQ,2020-06-27,1.29,1.58,1.04
MOQ,2020-06-28,1.28,1.56,1.03
MOQ,2020-06-29,1.26,1.53,1.01
MOQ,2020-06-30,1.29,1.55,1.04
MOQ,2020-07-01,1.31,1.57,1.07
MOQ,2020-07-02,1.34,1.59,1.1
MOQ,2020-07-03,1.36,1.61,1.13
MOQ,2020-07-04,1.36,1.61,1.14
MOQ,2020-07-05,1.36,1.6,1.14
MOQ,2020-07-06,1.34,1.57,1.12
MOQ,2020-07-07,1.31,1.53,1.09
MOQ,2020-07-08,1.26,1.5,1.06
MOQ,2020-07-09,1.22,1.44,1.01
MOQ,2020-07-10,1.18,1.41,0.98
MOQ,2020-07-11,1.16,1.37,0.95
MOQ,2020-07-12,1.13,1.36,0.94
