state,date,R,Máximo,Mínimo
PAS,2020-04-16,3.0,6.99,1.01
PAS,2020-04-17,3.29,7.03,1.19
PAS,2020-04-18,3.82,7.09,1.53
PAS,2020-04-19,3.5,6.03,1.51
PAS,2020-04-20,3.46,5.62,1.65
PAS,2020-04-21,2.95,4.78,1.44
PAS,2020-04-22,2.78,4.41,1.40
PAS,2020-04-23,2.53,4.0,1.29
PAS,2020-04-24,2.35,3.69,1.2
PAS,2020-04-25,2.22,3.49,1.16
PAS,2020-04-26,2.11,3.27,1.08
PAS,2020-04-27,2.02,3.12,1.04
PAS,2020-04-28,1.95,3.02,1.03
PAS,2020-04-29,1.99,3.03,1.09
PAS,2020-04-30,2.02,2.99,1.12
PAS,2020-05-01,1.98,2.93,1.14
PAS,2020-05-02,1.90,2.77,1.07
PAS,2020-05-03,1.76,2.63,1.01
PAS,2020-05-04,1.58,2.37,0.84
PAS,2020-05-05,1.5,2.30,0.81
PAS,2020-05-06,1.43,2.2,0.75
PAS,2020-05-07,1.42,2.19,0.75
PAS,2020-05-08,1.42,2.17,0.74
PAS,2020-05-09,1.41,2.16,0.74
PAS,2020-05-10,1.41,2.14,0.73
PAS,2020-05-11,1.40,2.18,0.77
PAS,2020-05-12,1.42,2.16,0.76
PAS,2020-05-13,1.45,2.2,0.8
PAS,2020-05-14,1.46,2.2,0.81
PAS,2020-05-15,1.48,2.22,0.84
PAS,2020-05-16,1.54,2.29,0.91
PAS,2020-05-17,1.57,2.31,0.95
PAS,2020-05-18,1.6,2.30,0.97
PAS,2020-05-19,1.57,2.26,0.96
PAS,2020-05-20,1.56,2.24,0.97
PAS,2020-05-21,1.56,2.22,0.98
PAS,2020-05-22,1.53,2.18,0.97
PAS,2020-05-23,1.51,2.13,0.95
PAS,2020-05-24,1.54,2.16,1.0
PAS,2020-05-25,1.55,2.14,1.01
PAS,2020-05-26,1.59,2.15,1.05
PAS,2020-05-27,1.6,2.15,1.08
PAS,2020-05-28,1.59,2.13,1.09
PAS,2020-05-29,1.57,2.1,1.09
PAS,2020-05-30,1.52,2.04,1.06
PAS,2020-05-31,1.5,1.99,1.04
PAS,2020-06-01,1.47,1.97,1.04
PAS,2020-06-02,1.51,1.96,1.06
PAS,2020-06-03,1.54,1.99,1.11
PAS,2020-06-04,1.52,1.95,1.1
PAS,2020-06-05,1.48,1.91,1.08
PAS,2020-06-06,1.41,1.84,1.03
PAS,2020-06-07,1.34,1.75,0.96
PAS,2020-06-08,1.34,1.75,0.97
PAS,2020-06-09,1.33,1.71,0.95
PAS,2020-06-10,1.38,1.77,1.02
PAS,2020-06-11,1.41,1.8,1.06
PAS,2020-06-12,1.40,1.77,1.05
PAS,2020-06-13,1.35,1.7,1.0
PAS,2020-06-14,1.34,1.7,1.01
PAS,2020-06-15,1.33,1.69,1.01
PAS,2020-06-16,1.33,1.69,1.02
PAS,2020-06-17,1.33,1.65,1.0
PAS,2020-06-18,1.32,1.64,1.0
PAS,2020-06-19,1.29,1.62,0.99
PAS,2020-06-20,1.25,1.57,0.95
PAS,2020-06-21,1.22,1.53,0.92
PAS,2020-06-22,1.21,1.53,0.92
PAS,2020-06-23,1.22,1.53,0.93
PAS,2020-06-24,1.23,1.55,0.95
PAS,2020-06-25,1.25,1.56,0.97
PAS,2020-06-26,1.29,1.59,1.01
PAS,2020-06-27,1.31,1.61,1.04
PAS,2020-06-28,1.33,1.62,1.06
PAS,2020-06-29,1.33,1.62,1.07
PAS,2020-06-30,1.32,1.6,1.06
PAS,2020-07-01,1.3,1.58,1.05
PAS,2020-07-02,1.29,1.56,1.04
PAS,2020-07-03,1.26,1.52,1.01
PAS,2020-07-04,1.25,1.49,0.99
PAS,2020-07-05,1.22,1.49,0.99
PAS,2020-07-06,1.2,1.45,0.96
PAS,2020-07-07,1.16,1.42,0.93
PAS,2020-07-08,1.13,1.37,0.89
PAS,2020-07-09,1.11,1.36,0.88
PAS,2020-07-10,1.1,1.35,0.87
PAS,2020-07-11,1.1,1.35,0.87
PAS,2020-07-12,1.1,1.35,0.87
