state,date,R,Máximo,Mínimo
PUN,2020-04-16,3.0,6.99,1.01
PUN,2020-04-17,2.87,6.25,0.99
PUN,2020-04-18,2.77,5.83,1.01
PUN,2020-04-19,3.0,5.96,1.12
PUN,2020-04-20,3.11,5.81,1.25
PUN,2020-04-21,3.09,5.48,1.32
PUN,2020-04-22,3.46,5.62,1.65
PUN,2020-04-23,3.47,5.32,1.82
PUN,2020-04-24,3.05,4.65,1.66
PUN,2020-04-25,2.78,4.16,1.52
PUN,2020-04-26,2.42,3.65,1.3
PUN,2020-04-27,2.18,3.34,1.18
PUN,2020-04-28,2.07,3.14,1.11
PUN,2020-04-29,1.93,2.97,1.05
PUN,2020-04-30,1.92,2.9,1.05
PUN,2020-05-01,1.86,2.82,1.04
PUN,2020-05-02,1.76,2.67,0.97
PUN,2020-05-03,1.69,2.57,0.93
PUN,2020-05-04,1.62,2.48,0.89
PUN,2020-05-05,1.56,2.4,0.85
PUN,2020-05-06,1.55,2.35,0.83
PUN,2020-05-07,1.5,2.30,0.81
PUN,2020-05-08,1.49,2.27,0.8
PUN,2020-05-09,1.45,2.24,0.79
PUN,2020-05-10,1.44,2.2,0.77
PUN,2020-05-11,1.46,2.24,0.81
PUN,2020-05-12,1.45,2.2,0.79
PUN,2020-05-13,1.44,2.21,0.81
PUN,2020-05-14,1.41,2.12,0.75
PUN,2020-05-15,1.38,2.12,0.76
PUN,2020-05-16,1.35,2.06,0.72
PUN,2020-05-17,1.34,2.08,0.74
PUN,2020-05-18,1.34,2.05,0.72
PUN,2020-05-19,1.36,2.06,0.73
PUN,2020-05-20,1.36,2.08,0.75
PUN,2020-05-21,1.38,2.11,0.78
PUN,2020-05-22,1.40,2.1,0.78
PUN,2020-05-23,1.42,2.09,0.78
PUN,2020-05-24,1.43,2.14,0.83
PUN,2020-05-25,1.40,2.06,0.78
PUN,2020-05-26,1.39,2.06,0.79
PUN,2020-05-27,1.38,2.06,0.8
PUN,2020-05-28,1.40,2.06,0.81
PUN,2020-05-29,1.43,2.07,0.83
PUN,2020-05-30,1.46,2.1,0.87
PUN,2020-05-31,1.49,2.14,0.92
