state,date,R,Máximo,Mínimo
SAM,2020-04-05,3.0,6.99,1.01
SAM,2020-04-06,2.87,6.25,0.99
SAM,2020-04-07,2.77,5.83,1.01
SAM,2020-04-08,3.0,5.96,1.12
SAM,2020-04-09,2.81,5.42,1.11
SAM,2020-04-10,2.92,5.36,1.21
SAM,2020-04-11,2.5,4.60,1.02
SAM,2020-04-12,2.6,4.61,1.09
SAM,2020-04-13,2.64,4.54,1.16
SAM,2020-04-14,2.63,4.42,1.22
SAM,2020-04-15,2.87,4.5,1.40
SAM,2020-04-16,2.81,4.32,1.48
SAM,2020-04-17,2.72,4.09,1.5
SAM,2020-04-18,2.46,3.66,1.33
SAM,2020-04-19,2.15,3.29,1.17
SAM,2020-04-20,1.99,3.07,1.08
SAM,2020-04-21,1.87,2.9,1.01
SAM,2020-04-22,1.68,2.66,0.88
SAM,2020-04-23,1.75,2.7,0.93
SAM,2020-04-24,1.8,2.75,1.0
SAM,2020-04-25,1.88,2.80,1.08
SAM,2020-04-26,1.93,2.82,1.15
SAM,2020-04-27,1.96,2.79,1.19
SAM,2020-04-28,1.94,2.74,1.21
SAM,2020-04-29,1.89,2.66,1.2
SAM,2020-04-30,1.79,2.52,1.13
SAM,2020-05-01,1.7,2.41,1.08
SAM,2020-05-02,1.62,2.29,1.01
SAM,2020-05-03,1.54,2.2,0.96
SAM,2020-05-04,1.5,2.14,0.93
SAM,2020-05-05,1.53,2.17,0.98
SAM,2020-05-06,1.58,2.17,1.01
SAM,2020-05-07,1.65,2.26,1.12
SAM,2020-05-08,1.66,2.23,1.13
SAM,2020-05-09,1.63,2.18,1.12
SAM,2020-05-10,1.55,2.06,1.04
SAM,2020-05-11,1.49,1.99,1.0
SAM,2020-05-12,1.41,1.92,0.95
SAM,2020-05-13,1.38,1.88,0.93
SAM,2020-05-14,1.34,1.82,0.89
SAM,2020-05-15,1.31,1.8,0.88
SAM,2020-05-16,1.27,1.73,0.83
SAM,2020-05-17,1.23,1.69,0.8
SAM,2020-05-18,1.22,1.7,0.81
SAM,2020-05-19,1.24,1.69,0.81
SAM,2020-05-20,1.26,1.73,0.85
SAM,2020-05-21,1.3,1.75,0.88
SAM,2020-05-22,1.33,1.78,0.92
SAM,2020-05-23,1.36,1.8,0.95
SAM,2020-05-24,1.37,1.82,0.98
SAM,2020-05-25,1.36,1.79,0.97
SAM,2020-05-26,1.35,1.79,0.98
SAM,2020-05-27,1.32,1.73,0.94
SAM,2020-05-28,1.3,1.71,0.93
SAM,2020-05-29,1.29,1.7,0.93
SAM,2020-05-30,1.3,1.7,0.94
SAM,2020-05-31,1.3,1.7,0.95
SAM,2020-06-01,1.31,1.7,0.96
SAM,2020-06-02,1.28,1.64,0.92
SAM,2020-06-03,1.26,1.62,0.91
SAM,2020-06-04,1.23,1.62,0.91
SAM,2020-06-05,1.21,1.58,0.88
SAM,2020-06-06,1.21,1.56,0.87
SAM,2020-06-07,1.21,1.58,0.89
SAM,2020-06-08,1.22,1.58,0.9
SAM,2020-06-09,1.26,1.6,0.93
SAM,2020-06-10,1.29,1.62,0.96
SAM,2020-06-11,1.34,1.67,1.02
SAM,2020-06-12,1.36,1.69,1.05
SAM,2020-06-13,1.36,1.69,1.06
SAM,2020-06-14,1.33,1.66,1.04
SAM,2020-06-15,1.29,1.58,0.98
SAM,2020-06-16,1.25,1.57,0.97
SAM,2020-06-17,1.23,1.54,0.95
SAM,2020-06-18,1.22,1.52,0.94
SAM,2020-06-19,1.22,1.5,0.93
SAM,2020-06-20,1.21,1.52,0.95
SAM,2020-06-21,1.21,1.5,0.94
SAM,2020-06-22,1.22,1.52,0.96
SAM,2020-06-23,1.22,1.51,0.96
SAM,2020-06-24,1.25,1.52,0.98
SAM,2020-06-25,1.27,1.56,1.02
SAM,2020-06-26,1.29,1.57,1.04
SAM,2020-06-27,1.29,1.57,1.05
SAM,2020-06-28,1.28,1.55,1.04
SAM,2020-06-29,1.27,1.53,1.03
SAM,2020-06-30,1.27,1.51,1.02
SAM,2020-07-01,1.26,1.52,1.03
SAM,2020-07-02,1.27,1.52,1.04
SAM,2020-07-03,1.28,1.52,1.05
SAM,2020-07-04,1.3,1.53,1.07
SAM,2020-07-05,1.32,1.54,1.09
SAM,2020-07-06,1.32,1.57,1.12
SAM,2020-07-07,1.32,1.55,1.11
SAM,2020-07-08,1.31,1.53,1.1
SAM,2020-07-09,1.29,1.51,1.09
SAM,2020-07-10,1.28,1.48,1.07
SAM,2020-07-11,1.28,1.5,1.09
SAM,2020-07-12,1.27,1.47,1.07
SAM,2020-07-13,1.25,1.44,1.05
SAM,2020-07-14,1.23,1.43,1.04
SAM,2020-07-15,1.2,1.41,1.02
SAM,2020-07-16,1.17,1.37,0.99
SAM,2020-07-17,1.16,1.36,0.98
SAM,2020-07-18,1.14,1.35,0.97
SAM,2020-07-19,1.12,1.31,0.94
SAM,2020-07-20,1.09,1.28,0.91
SAM,2020-07-21,1.06,1.25,0.88
SAM,2020-07-22,1.03,1.22,0.85
SAM,2020-07-23,1.01,1.2,0.83
SAM,2020-07-24,1.0,1.18,0.81
SAM,2020-07-28,1.0,1.18,0.81
SAM,2020-07-29,1.0,1.2,0.82
SAM,2020-07-30,1.0,1.2,0.82
SAM,2020-08-01,1.0,1.2,0.82
SAM,2020-08-02,1.0,1.2,0.82
SAM,2020-08-04,1.0,1.2,0.82
SAM,2020-08-05,1.0,1.2,0.82
SAM,2020-08-06,1.0,1.2,0.82
SAM,2020-08-07,1.0,1.19,0.81
SAM,2020-08-08,1.0,1.19,0.81
SAM,2020-08-09,1.0,1.19,0.81
