state,date,R,Máximo,Mínimo
TUM,2020-04-01,3.0,6.99,1.01
TUM,2020-04-02,3.13,6.36,1.12
TUM,2020-04-03,2.81,5.42,1.11
TUM,2020-04-04,2.6,4.85,1.04
TUM,2020-04-05,2.28,4.22,0.88
TUM,2020-04-06,2.22,4.06,0.87
TUM,2020-04-07,2.03,3.78,0.82
TUM,2020-04-08,2.28,4.06,0.95
TUM,2020-04-09,2.63,4.42,1.22
TUM,2020-04-10,2.69,4.34,1.33
TUM,2020-04-11,2.67,4.12,1.35
TUM,2020-04-12,2.42,3.78,1.28
TUM,2020-04-13,2.1,3.33,1.08
TUM,2020-04-14,1.94,3.11,1.0
TUM,2020-04-15,1.71,2.78,0.83
TUM,2020-04-16,2.03,3.11,1.08
TUM,2020-04-17,2.21,3.28,1.29
TUM,2020-04-18,2.37,3.36,1.47
TUM,2020-04-19,2.3,3.17,1.43
TUM,2020-04-20,2.13,2.96,1.35
TUM,2020-04-21,1.91,2.69,1.19
TUM,2020-04-22,1.72,2.44,1.03
TUM,2020-04-23,1.52,2.23,0.89
TUM,2020-04-24,1.48,2.17,0.86
TUM,2020-04-25,1.44,2.11,0.83
TUM,2020-04-26,1.45,2.13,0.86
TUM,2020-04-27,1.45,2.12,0.87
TUM,2020-04-28,1.5,2.17,0.93
TUM,2020-04-29,1.5,2.14,0.93
TUM,2020-04-30,1.5,2.14,0.95
TUM,2020-05-01,1.44,2.02,0.87
TUM,2020-05-02,1.41,2.0,0.87
TUM,2020-05-03,1.45,2.04,0.92
TUM,2020-05-04,1.49,2.07,0.97
TUM,2020-05-05,1.52,2.09,1.01
TUM,2020-05-06,1.52,2.06,1.01
TUM,2020-05-07,1.47,1.99,0.97
TUM,2020-05-08,1.39,1.93,0.93
TUM,2020-05-09,1.33,1.82,0.85
TUM,2020-05-10,1.28,1.79,0.83
TUM,2020-05-11,1.3,1.8,0.85
TUM,2020-05-12,1.32,1.81,0.87
TUM,2020-05-13,1.34,1.83,0.9
TUM,2020-05-14,1.36,1.85,0.93
TUM,2020-05-15,1.35,1.82,0.92
TUM,2020-05-16,1.35,1.82,0.93
TUM,2020-05-17,1.34,1.79,0.92
TUM,2020-05-18,1.34,1.79,0.93
TUM,2020-05-19,1.32,1.74,0.9
TUM,2020-05-20,1.47,1.89,1.06
TUM,2020-05-21,1.57,1.98,1.17
TUM,2020-05-22,1.67,2.06,1.28
TUM,2020-05-23,1.66,2.05,1.3
TUM,2020-05-24,1.57,1.93,1.21
TUM,2020-05-25,1.45,1.82,1.12
TUM,2020-05-26,1.35,1.7,1.02
TUM,2020-05-27,1.19,1.55,0.88
