state,date,R,Máximo,Mínimo
UCA,2020-04-10,3.0,6.99,1.01
UCA,2020-04-11,3.29,7.03,1.19
UCA,2020-04-12,3.38,6.51,1.31
UCA,2020-04-13,3.65,6.35,1.59
UCA,2020-04-14,3.57,5.79,1.69
UCA,2020-04-15,3.37,5.26,1.73
UCA,2020-04-16,3.14,4.74,1.67
UCA,2020-04-17,3.05,4.46,1.73
UCA,2020-04-18,2.9,4.16,1.73
UCA,2020-04-19,2.75,3.89,1.71
UCA,2020-04-20,2.61,3.65,1.68
UCA,2020-04-21,2.44,3.38,1.59
UCA,2020-04-22,2.45,3.32,1.67
UCA,2020-04-23,2.39,3.16,1.65
UCA,2020-04-24,2.26,2.98,1.59
UCA,2020-04-25,2.2,2.87,1.58
UCA,2020-04-26,2.14,2.77,1.57
UCA,2020-04-27,2.16,2.75,1.63
UCA,2020-04-28,2.18,2.73,1.69
UCA,2020-04-29,2.13,2.63,1.67
UCA,2020-04-30,2.08,2.52,1.63
UCA,2020-05-01,1.94,2.38,1.54
UCA,2020-05-02,1.79,2.19,1.40
UCA,2020-05-03,1.65,2.05,1.29
UCA,2020-05-04,1.55,1.93,1.2
UCA,2020-05-05,1.5,1.87,1.16
UCA,2020-05-06,1.45,1.82,1.13
UCA,2020-05-07,1.42,1.77,1.1
UCA,2020-05-08,1.40,1.73,1.08
UCA,2020-05-09,1.37,1.71,1.07
UCA,2020-05-10,1.35,1.69,1.06
UCA,2020-05-11,1.33,1.64,1.03
UCA,2020-05-12,1.3,1.6,1.0
UCA,2020-05-13,1.27,1.57,0.98
UCA,2020-05-14,1.23,1.55,0.96
UCA,2020-05-15,1.2,1.51,0.93
UCA,2020-05-16,1.2,1.49,0.92
UCA,2020-05-17,1.21,1.52,0.95
UCA,2020-05-18,1.23,1.52,0.96
UCA,2020-05-19,1.25,1.52,0.97
UCA,2020-05-20,1.25,1.54,0.99
UCA,2020-05-21,1.22,1.51,0.97
UCA,2020-05-22,1.2,1.46,0.93
UCA,2020-05-23,1.16,1.44,0.91
UCA,2020-05-24,1.13,1.42,0.89
UCA,2020-05-25,1.13,1.40,0.88
UCA,2020-05-26,1.14,1.41,0.89
UCA,2020-05-27,1.17,1.44,0.92
UCA,2020-05-28,1.19,1.45,0.94
UCA,2020-05-29,1.21,1.48,0.97
UCA,2020-05-30,1.23,1.48,0.98
UCA,2020-05-31,1.23,1.47,0.98
UCA,2020-06-01,1.25,1.51,1.02
UCA,2020-06-02,1.28,1.53,1.05
UCA,2020-06-03,1.29,1.53,1.06
UCA,2020-06-04,1.29,1.52,1.06
UCA,2020-06-05,1.27,1.52,1.06
UCA,2020-06-06,1.24,1.47,1.02
UCA,2020-06-07,1.23,1.44,1.0
UCA,2020-06-08,1.22,1.45,1.01
UCA,2020-06-09,1.24,1.46,1.03
UCA,2020-06-10,1.28,1.51,1.08
UCA,2020-06-11,1.3,1.52,1.1
UCA,2020-06-12,1.3,1.51,1.1
UCA,2020-06-13,1.28,1.47,1.07
UCA,2020-06-14,1.24,1.45,1.05
UCA,2020-06-15,1.21,1.41,1.02
UCA,2020-06-16,1.19,1.40,1.01
UCA,2020-06-17,1.19,1.40,1.01
UCA,2020-06-18,1.2,1.40,1.02
UCA,2020-06-19,1.21,1.42,1.04
UCA,2020-06-20,1.21,1.40,1.03
UCA,2020-06-21,1.19,1.39,1.02
UCA,2020-06-22,1.18,1.36,1.0
UCA,2020-06-23,1.18,1.37,1.01
UCA,2020-06-24,1.2,1.39,1.03
UCA,2020-06-25,1.22,1.40,1.05
UCA,2020-06-26,1.24,1.43,1.08
UCA,2020-06-27,1.26,1.43,1.09
UCA,2020-06-28,1.25,1.44,1.1
UCA,2020-06-29,1.25,1.42,1.09
UCA,2020-06-30,1.25,1.42,1.09
UCA,2020-07-01,1.25,1.41,1.09
UCA,2020-07-02,1.25,1.42,1.1
UCA,2020-07-03,1.23,1.38,1.07
UCA,2020-07-04,1.19,1.35,1.04
UCA,2020-07-05,1.16,1.32,1.01
UCA,2020-07-06,1.12,1.28,0.97
UCA,2020-07-07,1.09,1.26,0.95
UCA,2020-07-08,1.08,1.23,0.93
UCA,2020-07-09,1.08,1.23,0.93
UCA,2020-07-10,1.08,1.23,0.93
UCA,2020-07-11,1.08,1.23,0.93
UCA,2020-07-12,1.07,1.23,0.93
